Std_ID,Std_Name,Std_Gender,Std_SSN,Std_Age,Std_Email,Std_City,Std_Street,Std_ZipCode,Std_UniGradeYear,Std_EventStatus,Std_FreelancingStatus,Disease_Name,Std_EmcName,Std_EmcPhoneNo,Int_Name
1,Rahma Mostafa,Female,586709,23,rahmamostafa@gmail.com,Cairo,Al Haram Street,12345,2018,1,1,,Ahmed Hassan,1212345678,Intake43_Round1
2,Amira Ibrahim,Female,123457,27,amira.ibrahim@yahoo.com,Cairo,Corniche Road,23456,2017,1,1,Eczema,Sarah Ali,1113456789,Intake43_Round1
3,Bassem Hassan,Male,508936,28,bassem.hassan@yahoo.com,Alexandria,Sphinx Avenue,34567,2016,1,1,Back pain,Mohamed Khalil,1204593829,Intake43_Round1
4,Dalia Mansour,Female,374925,25,dalia.mansour@yahoo.com,Giza,Karnak Street,45678,2019,0,0,,Fatima Ahmed,1024567890,Intake43_Round1
5,Ehab Said,Male,792156,27,ehab.said@yahoo.com,Luxor,Nile Corniche,56789,2017,0,1,,Amir Mahmoud,1125678901,Intake43_Round1
6,Farah Ali,Female,456231,29,farah.ali@yahoo.com,Cairo,Naama Bay Road,67890,2015,1,1,,Nour Ibrahim,1236789012,Intake43_Round1
7,Gamal Abdelaziz,Male,829413,30,gamal.abdelaziz@yahoo.com,Sharm El Sheikh,Sheraton Street,78901,2014,0,0,,Omar Abdelaziz,1137890123,Intake43_Round1
8,Hala Mahmoud,Female,538219,28,hala.mahmoud@yahoo.com,Hurghada,Saad Zaghloul Street,89012,2016,1,1,,Yasmin Salah,1124839234,Intake43_Round1
9,Ibrahim Salah,Male,417580,25,ibrahim.salah@yahoo.com,Mansoura,Suez Canal Street,90123,2019,1,1,Food poisoning,Tarek Kamal,1038901234,Intake43_Round1
10,Jihan Kamal,Female,961327,25,jihan.kamal@yahoo.com,Port Said,Nile Corniche,11223,2019,1,1,Anxiety disorder,Mariam Youssef,1249012345,Intake43_Round1
11,Kareem Abdelrahman,Male,873456,27,kareem.abdelrahman@yahoo.com,Sohag,Al Gamaa Street,22334,2017,0,1,,Ahmed Hassan,1014357351,Intake43_Round1
12,Laila Ahmed,Female,925183,29,laila.ahmed@yahoo.com,Assiut,El Mahalla Street,33445,2015,1,1,,Sarah Ali,1140123456,Intake43_Round1
13,Magdy Hassan,Male,680492,31,magdy.hassan@yahoo.com,Zagazig,Luxor Street,44556,2013,0,1,,Mohamed Khalil,1237538527,Intake43_Round1
14,Nada Saleh,Female,375861,31,nada.saleh@yahoo.com,Qena,Corniche Road,55667,2013,1,1,Anxiety disorder,Fatima Ahmed,1041234567,Intake43_Round1
15,Omar Mohamed,Male,469285,32,omar.mohamed@yahoo.com,Damietta,Tahrir Street,66778,2012,1,1,,Amir Mahmoud,1252345678,Intake43_Round1
16,Rana El-Masry,Female,791634,27,rana.elmasry@yahoo.com,Minya,Port Fouad Street,77889,2017,0,0,Dental caries,Nour Ibrahim,1153456789,Intake43_Round1
17,Sameh Samir,Male,521947,25,sameh.samir@yahoo.com,Ismailia,Gharbeya Street,88990,2019,0,1,Back pain,Omar Abdelaziz,1054567890,Intake43_Round1
18,Tarek Mansour,Male,308576,26,tarek.mansour@yahoo.com,Tanta,Masr Street,99001,2018,0,1,,Yasmin Salah,1166472753,Intake43_Round1
19,Yasmin Amin,Female,324815,27,yasmin.amin@yahoo.com,Fayoum,Ramses Street,11223,2017,1,0,,Tarek Kamal,1265678901,Intake43_Round1
20,Youssef Sami,Male,789654,29,youssef.sami@yahoo.com,Alexandria,Nasser Street,22334,2015,1,1,Eczema,Mariam Youssef,1166789012,Intake43_Round1
21,Zahra Nabil,Female,935728,26,zahra.nabil@yahoo.com,Beni Suef,Corniche Road,33445,2018,1,1,Anxiety disorder,Ahmed Samir,1067890123,Intake43_Round1
22,Adel Ghanem,Male,367814,27,adel.ghanem@yahoo.com,Suez,6th October Street,44556,2017,0,1,Back pain,Hala Abdelrahman,1278901234,Intake43_Round1
23,Bahia Kamal,Female,740596,31,bahia.kamal@yahoo.com,Banha,Talaat Harb Street,55667,2013,1,0,,Kareem Mansour,1045462746,Intake43_Round1
24,Cyrus Farouk,Male,219384,32,cyrus.farouk@yahoo.com,Shibin El Kom,Saad Zaghloul Street,66778,2012,0,1,Back pain,Nada Rashed,1179012345,Intake43_Round1
25,Dalila Hassan,Female,567013,28,dalila.hassan@yahoo.com,Kafr El Sheikh,Alexandria Street,77889,2016,1,0,,Karim Amin,1070123456,Intake43_Round1
26,Essam Hakim,Male,349527,28,essam.hakim@yahoo.com,Damanhur,Nile Corniche,88990,2016,1,1,Food poisoning,Rania Farouk,1001234567,Intake43_Round1
27,Fatima Aziz,Female,350861,26,fatima.aziz@yahoo.com,Damietta,Saad Zaghloul Street,99001,2018,0,1,Indigestion,Sameh Fathy,1149231153,Intake43_Round1
28,Gamil Naguib,Male,487352,28,gamil.naguib@yahoo.com,Suez,Corniche Road,11223,2016,1,1,,Samar Adel,1212345678,Intake43_Round1
29,Hoda Mahmoud,Female,967243,31,hoda.mahmoud@yahoo.com,Qena,El Gharbeya Street,22334,2013,0,1,Dental caries,Walid Salah,1113456789,Intake43_Round1
30,Ihab Hafez,Male,834590,27,ihab.hafez@yahoo.com,Cairo,Ramses Street,33445,2017,1,1,,Aya Hamdy,1204593829,Intake43_Round1
31,Karima Abdelhamid,Female,492357,25,karima.abdelhamid@yahoo.com,Luxor,Sheraton Street,44556,2019,0,1,,Hassan Mohamed,1024567890,Intake43_Round1
32,Layla Soliman,Female,480625,25,layla.soliman@yahoo.com,Hurghada,Al Horreya Street,55667,2019,1,0,,Mona Gouda,1125678901,Intake43_Round1
33,Magdi Saleh,Male,467532,25,magdi.saleh@yahoo.com,Alexandria,Sphinx Avenue,66778,2019,0,0,,Khaled Ibrahim,1236789012,Intake43_Round1
34,Noura Saad,Female,105783,25,noura.saad@yahoo.com,Giza,Tahrir Square,77889,2019,1,1,Anxiety disorder,Hoda Sayed,1137890123,Intake43_Round1
35,Osman Mohamed,Male,189576,26,osman.mohamed@yahoo.com,Cairo,Saad Zaghloul Street,88990,2018,0,1,Back pain,Sherif Mansour,1124839234,Intake43_Round1
36,Rasha El-Sayed,Female,748935,25,rasha.elsayed@yahoo.com,Mansoura,Suez Canal Street,99001,2019,1,1,,Salma Reda,1038901234,Intake43_Round1
37,Sameera Ali,Female,126870,25,sameera.ali@yahoo.com,Port Said,Nile Corniche,11223,2019,0,1,Indigestion,Youssef Ali,1249012345,Intake43_Round1
38,Tamer Hassan,Male,932458,26,tamer.hassan@yahoo.com,Sohag,Al Gamaa Street,22334,2018,1,1,Anxiety disorder,Reham Adel,1014357351,Intake43_Round1
39,Yara Hassan,Female,654329,26,yara.hassan@yahoo.com,Alexandria,El Mahalla Street,33445,2018,1,1,Eczema,Mahmoud Nasser,1140123456,Intake43_Round1
40,Zainab Mahmoud,Female,203847,27,zainab.mahmoud@yahoo.com,Assiut,Nile Corniche,44556,2017,1,0,,Amira Hussein,1237538527,Intake43_Round1
41,Abdelrahman Abdelaziz,Male,298517,28,abdelrahman.abdelaziz@yahoo.com,Zagazig,Luxor Street,55667,2016,0,1,,Ahmed Ali,1041234567,Intake43_Round2
42,Amina Khalil,Female,406295,25,amina.khalil@yahoo.com,Qena,Karnak Street,66778,2019,1,1,,Sarah Ibrahim,1252345678,Intake43_Round2
43,Basma Hamdi,Female,478236,25,basma.hamdi@yahoo.com,Luxor,Sheraton Street,77889,2019,1,0,,Mohamed Hassan,1153456789,Intake43_Round2
44,Dina Salah,Female,625734,28,dina.salah@yahoo.com,Hurghada,Al Horreya Street,88990,2016,1,0,Anxiety disorder,Fatma Ahmed,1054567890,Intake43_Round2
45,Eman Samir,Female,412569,26,eman.samir@yahoo.com,Alexandria,Sphinx Avenue,99001,2018,1,1,Anxiety disorder,Omar Mahmoud,1166472753,Intake43_Round2
46,Farida Said,Female,425873,26,farida.said@yahoo.com,Giza,Tahrir Square,11223,2018,0,0,,Nour Abdelrahman,1265678901,Intake43_Round2
47,Ghada Ibrahim,Female,349680,29,ghada.ibrahim@yahoo.com,Alexandria,Saad Zaghloul Street,22334,2015,1,1,Indigestion,Aya Khalid,1166789012,Intake43_Round2
48,Hamza Mahmoud,Male,238415,29,hamza.mahmoud@yahoo.com,Mansoura,Suez Canal Street,33445,2015,1,1,,Mahmoud Ibrahim,1067890123,Intake43_Round2
49,Inas Aref,Female,167832,30,inas.aref@yahoo.com,Port Said,Nile Corniche,44556,2014,1,0,Eczema,Yasmin Mohamed,1278901234,Intake43_Round2
50,Jamal Mansour,Male,497623,32,jamal.mansour@yahoo.com,Sohag,Al Gamaa Street,55667,2012,1,1,Anxiety disorder,Ali Ahmed,1045462746,Intake43_Round2
51,Karim Abdelnaby,Male,632548,25,karim.abdelnaby@yahoo.com,Asyut,El Mahalla Street,66778,2019,0,0,Back pain,Samar Mostafa,1179012345,Intake43_Round2
52,Lamia Ahmed,Female,674913,28,lamia.ahmed@yahoo.com,Zagazig,Corniche Road,77889,2016,1,1,,Karim Saad,1070123456,Intake43_Round2
53,Magda Kamal,Female,516287,29,magda.kamal@yahoo.com,Fayoum,Corniche Road,88990,2015,0,1,Indigestion,Nada Tarek,1212345678,Intake43_Round2
54,Nada Salem,Female,764913,25,nada.salem@yahoo.com,Giza,Tahrir Street,99001,2019,0,0,Back pain,Tamer Mahmoud,1113456789,Intake43_Round2
55,Omar Ahmed,Male,123489,25,omar.ahmed@yahoo.com,Minya,Port Fouad Street,11223,2019,1,0,,Rana Samir,1204593829,Intake43_Round2
56,Rania Khalid,Female,907546,25,rania.khalid@yahoo.com,Ismailia,Gharbeya Street,22334,2019,0,1,,Khaled Nabil,1024567890,Intake43_Round2
57,Samira Hassan,Female,234789,26,samira.hassan@yahoo.com,Tanta,Masr Street,33445,2018,0,1,,Salma Khalid,1125678901,Intake43_Round2
58,Tariq Salah,Male,678490,25,tariq.salah@yahoo.com,Fayoum,Nile Corniche,44556,2019,1,1,,Hesham Ibrahim,1236789012,Intake43_Round2
59,Yasmina Kamal,Female,543627,25,yasmina.kamal@yahoo.com,Aswan,Nasser Street,55667,2019,1,1,,Heba Kamal,1137890123,Intake43_Round2
60,Youssef Farag,Male,890416,26,youssef.farag@yahoo.com,Beni Suef,Corniche Road,66778,2018,1,1,,Amr Ali,1124839234,Intake43_Round2
61,Zara Abdelrahman,Female,761490,26,zara.abdelrahman@yahoo.com,Suez,6th October Street,77889,2018,0,1,,Mona Sami,1038901234,Intake43_Round2
62,Ahmed Hassan,Male,325698,27,ahmed.hassan@yahoo.com,Banha,Talaat Harb Street,88990,2017,1,1,,Youssef Hassan,1249012345,Intake43_Round2
63,Aida Nabil,Female,165872,28,aida.nabil@yahoo.com,Shibin El Kom,Saad Zaghloul Street,99001,2016,1,0,,Dina Ahmed,1014357351,Intake43_Round2
64,Bakr Ghanem,Male,798264,25,bakr.ghanem@yahoo.com,Kafr El Sheikh,Alexandria Street,11223,2019,0,1,,Hassan Tarek,1140123456,Intake43_Round2
65,Dalia Sami,Female,285674,25,dalia.sami@yahoo.com,Damanhur,Nile Corniche,22334,2019,1,1,Food poisoning,Reham Mahmoud,1237538527,Intake43_Round2
66,Emad Ibrahim,Male,425967,24,emad.ibrahim@yahoo.com,Damietta,Saad Zaghloul Street,33445,2020,0,0,Back pain,Nada Ahmed,1041234567,Intake43_Round2
67,Faten Khalid,Female,518743,26,faten.khalid@yahoo.com,Sohag,Corniche Road,44556,2018,1,1,,Ahmed Saad,1252345678,Intake43_Round2
68,Gihan Amin,Female,974628,26,gihan.amin@yahoo.com,Qena,El Gharbeya Street,55667,2018,0,1,Anxiety disorder,Mariam Mostafa,1153456789,Intake43_Round2
69,Hassan Samir,Male,438297,29,hassan.samir@yahoo.com,Aswan,Ramses Street,66778,2015,1,1,,Mahmoud Ibrahim,1054567890,Intake43_Round2
70,Iman Nader,Female,120345,29,iman.nader@yahoo.com,Cairo,Sheraton Street,77889,2015,1,1,,Yasmin Mohamed,1166472753,Intake43_Round2
71,Khaled Mahmoud,Male,643780,30,khaled.mahmoud@yahoo.com,Hurghada,Al Horreya Street,88990,2014,1,1,,Ali Ahmed,1265678901,Intake43_Round2
72,Lamis Hafez,Female,791520,32,lamis.hafez@yahoo.com,Alexandria,Sphinx Avenue,99001,2012,1,0,,Samar Khalid,1166789012,Intake43_Round2
